link	title	location	image	area	price
https://batdongsan.com.vn//cho-thue-can-ho-chung-cu-pho-giang-vo-phuong-giang-vo-prj-chung-cu-d2-giang-vo/trung-tam-giua-long-ha-noi-86m2-2-pn-16tr-thang-pr18159134	Cho thuê căn hộ D2 Giảng Võ, trung tâm giữa lòng Hà Nội - 86m2 - 2PN - 16tr/tháng	Cho thuê căn hộ chung cư tại Chung cư D2 Giảng Võ - Quận Ba Đình - Hà Nội	https://file4.batdongsan.com.vn/resize/745x510/2018/10/24/20181024144104-e679_wm.jpg	86m²	18 triệu/tháng
https://batdongsan.com.vn//cho-thue-can-ho-chung-cu-pho-ngoc-khanh-phuong-giang-vo-prj-chung-cu-15-17-ngoc-khanh/chinh-chu-tai-15-17-ba-dinh-135m-3-pn-14tr-thang-pr18340429	Chính chủ cho thuê căn hộ tại chung cư 15-17 Ngọc Khánh, Ba Đình, 135m2 - 3PN - 14tr/tháng	Cho thuê căn hộ chung cư tại Chung cư 15-17 Ngọc Khánh - Quận Ba Đình - Hà Nội	https://file4.batdongsan.com.vn/resize/745x510/2019/05/22/20190522153618-a07d_wm.jpg	135m²	14 triệu/tháng
https://batdongsan.com.vn//cho-thue-can-ho-chung-cu-duong-pham-van-dong-phuong-co-nhue-1-prj-green-stars/hot-hot-star-2pn-74m2-gia-7tr-thang-full-noi-that-ban-0946-93-9922-pr11092279	Cho thuê chung cư Green Stars: 3PN, 102m2, giá 7 tr/tháng, full nội thất cơ bản (LH: 0916.79.8285)	Cho thuê căn hộ chung cư tại Green Stars - Quận Bắc Từ Liêm - Hà Nội	https://file4.batdongsan.com.vn/resize/745x510/2018/06/23/20180623171822-7487_wm.jpg	74m²	7 triệu/tháng
https://batdongsan.com.vn//cho-thue-nha-rieng-duong-vu-trong-phung-phuong-thanh-xuan-trung/so-11-ngo-98-1-chinh-chu-van-phong-chi-nu-hoac-ho-gia-dinh-o-dep-co-dieu-hoa-nl-pr19326698	Số 11, ngõ 98/1 chính chủ cho thuê tầng 2 35m2 : Nội thất đẹp, có điều hòa, nóng lạnh, phòng thông	Cho thuê nhà riêng tại Đường Vũ Trọng Phụng - Quận Thanh Xuân - Hà Nội	https://file4.batdongsan.com.vn/resize/745x510/2019/02/11/20190211104509-32f9_wm.jpg	35m²	5 triệu/tháng
https://batdongsan.com.vn//cho-thue-kho-nha-xuong-dat-quan-7/chinh-chu-trong-va-ngoai-kcn-q7dt-50m2-100m2-500m2-1000m2-5-10-000m2-gia-50-000d-pr13775860	Chính chủ cho thuê kho trong và ngoài KCN Q7 DT: 50m2, 100m2- 500m2-1000m2, 5-10,000m2 giá: 50,000đ	Cho thuê kho, nhà xưởng, đất tại Quận 7 - Hồ Chí Minh	https://file4.batdongsan.com.vn/resize/745x510/2017/10/11/20171011093216-b7cd_wm.jpg	500m²	Thỏa thuận
https://batdongsan.com.vn//cho-thue-can-ho-chung-cu-duong-le-van-luong-phuong-nhan-chinh-prj-ha-noi-center-point/xem-nha-ngay-tu-1pn-den-3pn-gia-tu-10-tr-th-lh-0936660708-pr20535218	Xem nhà ngay căn hộ Center Point Lê Văn Lương từ 1PN đến 3PN, giá từ 10 tr/tháng. LH: 0936660708	Cho thuê căn hộ chung cư tại Hà Nội Center Point - Quận Thanh Xuân - Hà Nội	https://file4.batdongsan.com.vn/resize/745x510/2019/05/02/20190502142243-3a9e_wm.jpg	63m²	11 triệu/tháng
https://batdongsan.com.vn//cho-thue-can-ho-chung-cu-phuong-van-phuc-1-prj-khu-do-thi-moi-duong-noi/chcc-ct7c-kdt-ha-dong-56m2-2pn-1vs-nguyen-ban-3-5-trieu-thang-pr20885932	CHCC CT7C KĐT Dương Nội, Hà Đông, 56m2, 2PN, 1VS, nguyên bản, 3.5 triệu/tháng	Cho thuê căn hộ chung cư tại Khu đô thị mới Dương Nội - Quận Hà Đông - Hà Nội	nan	56m²	3.5 triệu/tháng
https://batdongsan.com.vn//cho-thue-can-ho-chung-cu-phuong-duong-noi-prj-the-sparks/chcc-ct7b-kdt-ha-dong-55m2-2pn-1vs-nguyen-ban-3-5-trieu-thang-pr20858003	CHCC CT7B KĐT Dương Nội, Hà Đông, 55m2, 2PN, 1VS, nguyên bản, 3.5 triệu/tháng	Cho thuê căn hộ chung cư tại The Sparks - Quận Hà Đông - Hà Nội	nan	55m²	3.5 triệu/tháng
https://batdongsan.com.vn//cho-thue-kho-nha-xuong-dat-xa-phu-minh-2/tai-soc-son-ha-noi-dt-1600m2-gia-re-gan-san-bay-noi-bai-pr20814321	Cho thuê xưởng tại xã Phú Minh, Sóc Sơn, Hà Nội, DT 1600m2 giá rẻ gần sân bay Nội Bài	Cho thuê kho, nhà xưởng, đất tại Xã Phú Minh - Huyện Sóc Sơn - Hà Nội	https://file4.batdongsan.com.vn/resize/745x510/2019/05/20/20190520161536-0536_wm.jpg	1600m²	50 nghìn/m2/tháng
https://batdongsan.com.vn//cho-thue-nha-mat-pho-duong-xa-lo-ha-noi-phuong-thao-dien/dat-850m2-2mt-p-to-quan-2-ngay-cach-vincom-pr17396198	Cho thuê nhà đất 850m2 2MT Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, ngay cạch Vincom	Cho thuê nhà mặt phố tại Đường Xa Lộ Hà Nội - Quận 2 - Hồ Chí Minh	https://file4.batdongsan.com.vn/resize/745x510/2018/08/27/20180827142000-c3b9_wm.jpg	850m²	295 triệu/tháng
